epoch,train_loss,train_acc,test_loss,test_acc
1,1.804487172164917,31.112,1.6639604064941407,36.77
2,1.5385859648895264,42.574,1.648250506591797,40.23
3,1.3036863152694702,52.646,1.2935912963867187,54.2
4,1.1376046179580688,59.228,2.073423997116089,36.42
5,1.0148087203598022,64.256,1.4807141441345215,54.15
6,0.9151470514106751,68.262,1.3540104707717895,57.96
7,0.8668339506912232,69.984,1.1202934478759765,63.49
8,0.8118836717605591,72.05,1.7604279899597168,50.01
9,0.779647615852356,73.132,1.3692508615493775,57.91
10,0.7481788799858093,74.224,0.8646349849700927,71.66
