epoch,train_loss,train_acc,test_loss,test_acc
1,1.9487142742538452,27.97,1.7025773960113526,35.51
2,1.5822171677780152,41.736,1.4130684143066405,48.24
3,1.3289054919052123,51.644,1.4741303893089295,49.94
4,1.093314031791687,61.162,0.9781213850021362,65.77
5,0.9105447906684876,68.118,1.1224273218154908,63.55
6,0.7979904614067078,72.186,1.0499174682617187,64.07
7,0.7232122751045227,74.824,0.8501979417800903,72.04
8,0.6775888628768921,76.756,0.7974481462478638,72.82
9,0.6350883861541748,78.142,0.7312707108497619,75.25
10,0.6017426278114318,79.332,0.8819564695358276,71.39
